Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,High-PreClose,PreClose-Low,High-Open,Open-Low,High-Low,PreClose-Open
TATAMOTORS,EQ,1-Dec-17,404.15,407.9,410.25,396.5,399,398.9,404.69,7959197,3221017928,80578,2909690,36.56,6.1,7.65,2.35,11.4,13.75,-3.75
TATAMOTORS,EQ,4-Dec-17,398.9,405.8,411.25,401.7,404.25,403.65,406.2,10043491,4079619833,89263,3022151,30.09,12.35,-2.8,5.45,4.1,9.55,-6.9
TATAMOTORS,EQ,5-Dec-17,403.65,404.55,405.5,396.55,402.25,402.25,400.26,7144542,2859702637,70281,2506941,35.09,1.85,7.1,0.95,8,8.95,-0.9
TATAMOTORS,EQ,6-Dec-17,402.25,400.2,404,395,395.75,397.05,398.34,5573968,2220338768,58474,2183403,39.17,1.75,7.25,3.8,5.2,9,2.05
TATAMOTORS,EQ,7-Dec-17,397.05,398,405.3,397.15,402.55,402,401.72,7998863,3213292703,78444,3187048,39.84,8.25,-0.1,7.3,0.85,8.15,-0.95
TATAMOTORS,EQ,8-Dec-17,402,406,413.75,406,410.85,411.15,410.36,12288946,5042895343,131596,4705431,38.29,11.75,-4,7.75,0,7.75,-4
TATAMOTORS,EQ,11-Dec-17,411.15,412,415.2,409.05,410.2,410.15,411.64,5066242,2085491660,59510,1454711,28.71,4.05,2.1,3.2,2.95,6.15,-0.85
TATAMOTORS,EQ,12-Dec-17,410.15,411.55,415.5,405.95,406.25,406.85,410.29,6151197,2523783415,57765,1855347,30.16,5.35,4.2,3.95,5.6,9.55,-1.4
TATAMOTORS,EQ,13-Dec-17,406.85,407,409.85,400,401.65,401.95,405.31,5140689,2083567516,60080,1794834,34.91,3,6.85,2.85,7,9.85,-0.15
TATAMOTORS,EQ,14-Dec-17,401.95,404,404.55,398.2,402.95,402.4,401.19,4674026,1875178932,58027,1613616,34.52,2.6,3.75,0.55,5.8,6.35,-2.05
TATAMOTORS,EQ,15-Dec-17,402.4,406.5,409,404.2,404.95,405.1,405.91,5614113,2278831062,79270,2803451,49.94,6.6,-1.8,2.5,2.3,4.8,-4.1
TATAMOTORS,EQ,18-Dec-17,405.1,399,409.9,389.3,406.5,405.8,404.05,5356208,2164199485,56161,1137524,21.24,4.8,15.8,10.9,9.7,20.6,6.1
TATAMOTORS,EQ,19-Dec-17,405.8,407.35,421.7,407.35,420.55,420.1,415.14,9686883,4021422112,118625,4580757,47.29,15.9,-1.55,14.35,0,14.35,-1.55
